"idx","news_date","news_title","news_text_sm","url_in","news_writer","tags_string","thumb_addr"
25,"2023.05.30 09:14","KT, 롯데온 AI ‘리스포’ 적용…유통 물류 혁신 가속화",KT가 롯데그룹의 e커머스 플랫폼인 롯데온과 손잡고 인공지능(AI)과 빅데이터 기반 알고리즘을 활용해 운송 최적화부터 배송 효율화까지 가능한 디지털 물류 솔루션 패키지를 적용한다고 30일 밝혔다.KT는 롯데온과 함께 지난 1월부터 전국 70여개 롯데마트 온라인 주문 배송 업무에 AI 운송 최적화 플랫폼인 LIS’FO(Logistics Intelligence Suite for Fleet Optimization 리스포)를 적용해 운송 거리는 최대 22% 운행 시간은 최대 11% 절감하고 있다. 이번에는,https://www.epnc.co.kr/news/articleView.html?idxno=233450,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233450_234808_1333_v150.jpg
26,"2023.05.26 17:06","올림플래닛-펫포레스트, 반려동물 메타버스 장례 서비스 선보여","올림플래닛은 반려동물 장례식장 펫포레스트와 반려동물 메타버스 장례 서비스 구축을 위한 업무 제휴를 맺었다고 26일 밝혔다.제휴를 통해 올림플래닛은 3D가상공간 SaaS 플랫폼 엘리펙스로 펫포레스트의 반려동물 장례 서비스를 3D가상공간에서 경험할 수 있도록 할 예정이다. 펫포레스트와 협력해 반려동물 장례식과 관련한 다양한 가상공간 제휴 상품을 개발할 예정이다.이상흥 펫포레스트 대표는 "" 이번 협약을 통해 보호자들이 사랑하는 반려동물을 가상공간에서 추억할 수 있는 다양한 서비스를 선보일 예정이다”며 “엘리펙",https://www.epnc.co.kr/news/articleView.html?idxno=233437,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233437_234789_555_v150.jpg
27,"2023.05.26 09:43","컴투버스, 정부 주관 ‘실감콘텐츠 핵심기술 개발사업’ 공동연구기관 선정",컴투스의 메타버스 전문 기업 컴투버스는 과학기술정보통신부에서 지원하는 ‘실감콘텐츠 핵심기술 개발사업’의 공동연구기관으로 선정됐다고 26일 밝혔다.해당 연구는 최근 주목받고 있는 ‘생성형 AI’ 기술을 기반으로 디지털 애셋을 3D 지식정보로 구조화하는 것을 목표로 한다. 기존의 ‘생성형 AI’는 이용자에게 정보를 텍스트 그림 등으로 전달하고 있으나 해당 기술은 한 단계 더 나가 데이터를 3D 형태의 다양한 비주얼 요소로 변환해 제공할 수 있다.과학기술정보통신부와 정보통신기획평가원에서 공모한 사업 중 한,https://www.epnc.co.kr/news/articleView.html?idxno=233424,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233424_234777_4328_v150.jpg
28,"2023.05.25 09:46","무하유, 서울관광재단에 AI 서류평가 ‘프리즘’ 제공",실용 인공지능(AI) 기술 기업 무하유가 자사 AI 서류평가 서비스 '프리즘'을 서울관광재단에 공급해 기간제 직원 채용을 돕고 있다고 25일 밝혔다.프리즘은 AI로 서류평가를 자동화하는 서비스다. 표절률은 물론 오기재나 반복 기재 블라인드 위반 요소까지 검출 가능하다. 인사담당자가 자기소개서 1개를 검토하는데 평균 12분의 시간이 소요되지만 프리즘을 사용할 경우 평균 '4초'로 소요 시간을 대폭 줄여준다. 지원자의 역량이 포함된 유의미한 구절에 하이라이트를 표시하고 예상 질문을 생성하는 등 지원자,https://www.epnc.co.kr/news/articleView.html?idxno=233405,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233405_234750_4527_v150.jpg
29,"2023.05.25 09:26","뤼튼, 아시아 생성AI 컨퍼런스 ‘GAA 2023’ 31일 개최",올인원 AI(인공지능) 플랫폼 ‘뤼튼테크놀로지스(뤼튼)’가 오는 31일 그랜드 인터컨티넨탈 서울 파르나스 그랜드볼룸에서 생성AI 컨퍼런스 ‘GAA 2023’을 개최한다고 25일 밝혔다.뤼튼의 이번 GAA 2023 컨퍼런스에는 국내외 16개 AI 기업이 참여한다. 네이버클라우드와 카카오브레인은 물론 허깅페이스 코히어 등 글로벌 AI 기업과 마이크로소프트 아마존웹서비스 등 라인업을 꾸렸다.최근 전세계적으로 이슈가 되고 있는 AI 윤리에 대해서도 별도 세션으로 ‘Generative AI와 법’을 마련했다.,https://www.epnc.co.kr/news/articleView.html?idxno=233401,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233401_234744_2541_v150.jpg
30,"2023.05.25 09:09","SKT, AI 발전방향 탐구하는 산학 공동 세미나 개최",SK텔레콤(SKT)은 고용노동부 한국산업인력공단 성균관대학교&솔데스크 컨소시엄 알파코와 공동으로 AI 분야 관계자들과 함께 기술 트렌드와 산업 방향성을 탐구하는 세미나를 개최한다고 25일 밝혔다.‘Meet AI: 생성 AI 기술이 이끄는 새로운 디지털 경험’이라는 주제로 개최되는 이번 세미나는 25일 SKT 을지로 본사 사옥에서 열린다. 기업의 인공지능 관련 실무자부터 AI 기술에 관심이 있는 학생까지 다양하게 참석 가능하다.총 5시간에 걸쳐 진행되는 본 세미나는 고용노동부와 한국산업인력공단에서,https://www.epnc.co.kr/news/articleView.html?idxno=233395,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233395_234738_918_v150.jpg
31,"2023.05.24 11:00",메타 참전한 빅테크 ‘AI 반도체’ 시장…속도 내는 이유는,AI 기술이 발전함에 따라 빅테크 기업의 자체 ‘AI 반도체’ 개발 사례가 증가하는 가운데 메타도 지난 18일(현지시간) 자체 설계한 AI 반도체를 처음 공개했다. 관련 업계에서는 이를 통해 소비 전력 절감을 이룰 수 있을 것으로 예상한다. 일각에서는 탈(脫) 엔비디아 행보라고 이야기한다.메타가 이날 공개한 칩은 적은 에너지로 동영상 처리를 지원하는 ‘MSVP(Meta Scalable Video Processor)’와 AI 학습 및 추론을 돕는 ‘MTIA(Meta Training and Inferenc,https://www.epnc.co.kr/news/articleView.html?idxno=233340,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233340_234688_156_v150.jpg
32,"2023.05.23 17:57","클레온, AI 기반 영상 솔루션으로 독일 ‘IF 디자인 어워드’ 본상 2관왕",AI 스타트업 클레온(대표 진승혁)은 디지털 휴먼 영상 제작 솔루션 '클론 스튜디오'와 자동 더빙 솔루션 '클링'으로 ‘iF 디자인 어워드 2023’에서 2관왕을 수상했다고 23일 밝혔다.지난해 두 솔루션을 런칭한 이후 CES Red herring Global Globee Awards 등 글로벌 어워드에서 수상하며 기술 혁신을 인정받은데 이어 iF 디자인 어워드 본상까지 수상하며 디자인 경쟁력까지 입증했다.1954년 시작된 iF 디자인 어워드는 레드닷 IDEA 디자인 어워드와 함께 세계 3대 산업,https://www.epnc.co.kr/news/articleView.html?idxno=233337,서용하 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233337_234677_4127_v150.jpg
33,"2023.05.23 09:58","이스트소프트, AI 휴먼 비즈니스 모델 글로벌 확장 위해 MS 방문",AI 서비스 전문 기업 이스트소프트는 마이크로소프트와 자사의 핵심 신사업인 AI 휴먼 비즈니스 모델의 글로벌 확장을 위한 논의를 위해 미국 시애틀에 있는 마이크로소프트 본사를 방문했다고 23일 밝혔다.이번 논의는 미국 현지 시각으로 22일부터 24일까지 총 3일간 진행된다. 정상원 이스트소프트 대표 변계풍 AI 사업본부 이사 변형진 테크 센터 이사가 방문해 마이크로소프트 본사의 글로벌 ISV(Independent Software Vendor) 및 스타트업 부문 본부장 글로벌 ISV 프로그램 부문 본,https://www.epnc.co.kr/news/articleView.html?idxno=233329,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233329_234670_5816_v150.jpg
34,"2023.05.19 09:12","이스트소프트, 다국어 발화 AI 휴먼 ‘데빈’ 출시…글로벌 경쟁력 강화",AI 서비스 기업 이스트소프트는 글로벌방송 아리랑TV의 앵커로 활약했던 ‘데빈’을 모델로 다국어 발화가 가능한 AI 휴먼을 론칭했다고 19일 밝혔다.이스트소프트에 의해 탄생한 ‘AI 휴먼 앵커 데빈’은 북미 유럽 중동 아시아 권역에 속한 총 110여 개국의 75종 언어를 발화하고 450여 명의 목소리를 생성해 낸다. 이스트소프트의 AI 클론 기술에 마이크로소프트의 기술이 더해진 결과다.구체적으로는 인물의 외모 발화 능력 및 목소리 특유의 말투와 동작을 그대로 복제해 생성하는 이스트소프트의 AI,https://www.epnc.co.kr/news/articleView.html?idxno=233268,양승갑 기자,,https://cdn.epnc.co.kr/news/thumbnail/202305/233268_234583_1147_v150.jpg
